Allemont;Col de Sarenne
Colmars;Col d'Allos
Barcelonnette;Col d'Allos
Barcelonnette;Col de la Cayolle
Barrage du Verney;Col de la Croix-de-Fer
Barrage du Verney;Col du Glandon
Beaufort;Col des Saisies
Beaufort;Cormet de Roselend
Bourg d'Oisans;Station de l'Alpe d'Huez
Bourg Saint Maurice;Col du Petit-Saint-Bernard
Bourg Saint Maurice;Cormet de Roselend
Breil sur Roya;Tunnel de Tende
Briancon;Col d'Izoard
Briancon;Col de Montgenevre
Briancon;Col du Lautaret
Casteldelfino;Col Agnel
Chateauneuf de Grasse;Col de l'ecre
Col du Lautaret;Col du Galibier
Colmars;Col des Champs
Entrevaux;Bay
Entrevaux;Col de Felines
Entrevaux;Col du Buis
Entrevaux;Col du Trebuchet
Flumet;Col des Aravis
Flumet;Col des Saisies
Grasse;Centre Radioelectrique du Doublier
Grasse;Col du Pilon
Col du Pilon;Pas de la Faye
Grenoble;Col de Porte
Guillestre;Col de Vars
Station Isola 2000;Col de la Lombarde
Jausiers;Cime de la Bonette
L'Escarene;Col de Braus
L'Escarene;Col de la Porte
L'Escarene;Col Saint-Roch
La Chambre;Col de la Madeleine
La Chambre;Col du Glandon
Lanslebourg;Col du Mont Cenis
Lantosque;Col de la Porte
Lantosque;Col de Turini
Le Chambon;Col de Sarenne
Le Clapier;Col du Lautaret
Le Grand Bornand;Col de la Colombiere
Le Rouccias;Mont Vial
Les Moulins;Cipieres
Les Quatre Chemins;Col de Bleine
Les Quatre Chemins;Col de Castellaras
Luceram;Col Saint-Roch
Menton;Col de Castillon
Menton;Col de la Madone de Gorbio
Mieussy;Col de la Ramaz
Nice;Col d'Eze
Nice;Col de Nice
Pont de St Pierre;Col du Buis
Pont du Loup;Chateauneuf de Grasse
Pont du Loup;Cipieres
Pont du Loup;Col de Bleine
Pont du Loup;Col de Castellaras
Pont du Loup;Col de l'ecre
Pont du Loup;Col de la Sine
Pont du Loup;Col de Vence
Saint Etienne de Cuines;Col de la Croix-de-Fer
Saint Jean de Maurienne;Col de la Croix-de-Fer
Saint Michel de Maurienne;Col du Telegraphe
Saint-Etienne de Tinee;Cime de la Bonette
Saint Martin d'Entraunes;Col de la Cayolle
Saint Martin d'Entraunes;Col des Champs
Saint Paul sur Ubaye;Col de Larche
Saint Paul sur Ubaye;Col de Vars
Scionzier;Col de la Colombiere
Sospel;Col de Braus
Sospel;Col de Brouis
Sospel;Col de Castillon
Sospel;Col de Turini
Sospel;Mont Gros
Susa;Col du Mont Cenis
Taninges;Col de la Ramaz
Thones;Col de la Croix Fry
Thones;Col des Aravis
Val des Pres;Col de l'Echelle
Valloire;Col du Galibier
Valloire;Col du Telegraphe
Vence;Col de Vence
Vinadio;Col de la Lombarde
Vinadio;Col de Larche
Bourg Saint Maurice;Col de l'Iseran
Val-Cenis;Col de l'Iseran
Briancon;Col du Granon
Val des Pres;Col du Granon
Briancon;Val des Pres
Les Gleizolles;Col de Vars
Guillestre;Col Agnel
Guillestre;Station de Risoul 1850
Gorges du Guil;Col d'Izoard
Guillestre;Gorges du Guil
Beuil;Col de la Couillole
Barcelonnette;Jausiers
Jausiers;Les Gleizolles
Les Gleizolles;Saint Paul sur Ubaye
Saint Paul sur Ubaye;Vars
Vars;Guillestre
Guillaumes;Col de Valberg
Saint Martin d'Entraunes;Guillaumes
Col de Valberg;Col de la Couillole
Bourg d'Oisans;Col de Poutran
Barrage du Verney;Col de Poutran
Saint Jean de Maurienne;Col du Mollard
Villargondran;Col du Mollard
Pont de Belleville;Col du Mollard
Le Chambon;Station des Deux Alpes
La Vachette;Col de Montgenevre
Briancon;La Vachette
Breil sur Roya;Authion
L'Escarene;Col de Turini
Col de Turini;Authion
L'Escarene;Col de Nice
Col de Nice;Col de Calaisson
Contes;Col de Calaisson
Contes;Col de Chateauneuf de Contes
Tourette Levens;Col de Chateauneuf de Contes
La Chambre;Col de Chaussy
Isola;Station Isola 2000
Lanslebourg;Col de l'Iseran
Lantosque;Col Saint-Martin
Station de l'Alpe d'Huez;Col de Sarenne
Saint Disdier;Col du Noyer
Saint Disdier;Super Devoluy
Vescous;Mont Vial
Morzine;Col du Ranfolly
Col du Ranfolly;Col de Joux Plane
Villefranche sur Mer;Col d'Eze
Les Gleizolles;Col de Larche
